 "id","13","0","5","14","12"
"ClaimAddonSettings","可以猜测可申请的附加职业","Can guess claimable add-ons","Может угадать требуемые атрибуты","",""
"BetrayalAddonSettings","可以猜测背叛的附加职业","Can guess betrayal add-ons","Может угадать предательсике атрибуты","",""
"ImpOnlyAddonSettings","可以猜测<color=#ff1919>内鬼</color>附加职业","Can guess <color=#ff1919>Impostor</color> add-ons","Может угадать атрибуты <color=#ff1919>Предателей</color>","",""
"CrewOnlyAddonSettings","可以猜测<color=#8cffff>船员</color>附加职业","Can guess <color=#8cffff>Crewmate</color> add-ons","Может угадать атрибуты <color=#8cffff>Членов Экипажа</color>","",""
"NeutralAddonSettings","可以猜测<color=#7f8c8d>中立</color>附加职业","Can guess <color=#7f8c8d>Neutral</color> add-ons","Может угадать атрибуты <color=#7f8c8d>Нейтралов</color>","",""
"BasicAddonSettings","可以猜测全部附加职业","Can guess global add-ons","Может угадать глобальне атрибуты","",""


"## 职业 / Roles"

"# 其它 / Other"
"GM","管理员","Game Master","GM (Призрак)","GM(遊戲大師)","Administrador"

"# 隐藏 / Hidden"
"Sunnyboy","阳光开朗大男孩","Sunnyboy","Солнечный Мальчик","陽光開朗大男孩","Chico Soleado"
"Bard","吟游诗人","Bard","Бард","吟遊詩人","Bard"
"Nuker","核武器","Nuker","","",""

"# 原版职业 / Vanilla"
"Crewmate","船员","Crewmate","Член Экипажа","船員","Tripulante"
"Engineer","工程师","Engineer","Инженер","工程師","Ingeniero"
"Scientist","科学家","Scientist","Ученый","科學家","Cientifico"
"GuardianAngel","守护天使","Guardian Angel","Ангел-хранитель","守護天使","Angel Guardian"
"Impostor","内鬼","Impostor","Предатель","偽裝者","Impostor"
"Shapeshifter","变形者","Shapeshifter","Оборотень","變形者","Cambiaformas"

"# Vanilla Remakes"
"EngineerTOHE","工程师","Engineer","Инженер","工程師","Ingeniero"
"ScientistTOHE","科学家","Scientist","Ученый","科學家","Cientifico"
"ShapeshifterTOHE","变形者","Shapeshifter","Оборотень","變形者","Cambiaformas"
"GuardianAngelTOHE","守护天使","Guardian Angel","Ангел-хранитель","守護天使","Angel Guardian"
"ImpostorTOHE","内鬼","Impostor","Предатель","",""
"CrewmateTOHE","船员","Crewmate","Член Экипажа","船員","Tripulante"

"# 内鬼阵营 / Impostors"
"BountyHunter","赏金猎人","Bounty Hunter","Охотник за Головами","賞金獵人","Cazador de Premios"
"Mare","梦魇","Mare","Ночной","獵夢者","Mare"
"FireWorks","烟花商人","Fireworker","Фейерверк","煙火工匠","Fuegos Artificiales"
"SerialKiller","嗜血杀手","Mercenary","Серийный Убийца","嗜血殺手","Asesino Serial"
"ShapeMaster","千面鬼","Shapemaster","Шпион","百變怪","CambiaMaestro"
"Vampire","吸血鬼","Vampire","Вампир","吸血鬼","Vampiro"
"Warlock","术士","Warlock","Колдун","術士","Warlock"
"Assassin","刺客","Ninja","Ассасин","刺客","Asesino"
"Zombie","僵尸","Zombie","Зомби","僵屍","Zombie"
"Hacker","骇客","Anonymous","Хакер","駭客","Anonymous"
"Miner","矿工","Miner","Шахтер","礦工","Minero"
"Minimalism","杀戮机器","Killing Machine","Машина для Убийств","殺人機器","Minimalista"
"Escapee","逃逸者","Escapist","Беглец","通緝犯","Escapista"
"Witch","女巫","Spellcaster","Ведьма","女巫","Bruja"
"Mafia","黑手党","Nemesis","Мафия","黑手黨","Mafia"
"Godfather","","Godfather","","",""
"Puppeteer","傀儡师","Puppeteer","Кукловод","傀儡師","Titiritero"
"TimeThief","蚀时者","Time Thief","Вор Времени","時間竊賊","Ladrón del Tiempo"
"Sniper","狙击手","Sniper","Снайпер","狙擊手","Sniper"
"EvilTracker","邪恶追踪者","Agent","Злой Трекер","邪惡追蹤者","Rastreador Malvado"
"EvilGuesser","邪恶赌怪","Evil Guesser","Злой Угадыватель","邪惡賭怪","Adivinador Malvado"
"AntiAdminer","监管者","Disruptor","Анти Админер","監管者","Disruptor"
"Sans","狂妄杀手","Arrogance","Высокомер","狂妄殺手","Sans"
"Bomber","自爆兵","Bomber","Бомбер","自爆兵","Bombero"
"Scavenger","清道夫","Scavenger","Уборщик","清道夫","Carroñero"
"BoobyTrap","诡雷","Trapster","Ловец","陷阱師","Trampa Booby"
"Capitalism","资本家","Capitalist","Капиталист","資本主義者","Capitalismo"
"Gangster","教父","Gangster","Гангстер","教父","Gangster"
"Cleaner","清理工","Cleaner","Очиститель","清潔工","Limpiador"
"BallLightning","球状闪电","Lightning","Молния","球狀閃電","Rayo Esférico"
"Greedier","贪婪者","Greedy","Жадина","貪婪者","Codicioso"
"CursedWolf","呪狼","Cursed Wolf","Проклятый Волк","被詛咒的狼","Lobo Cursed"
"ImperiusCurse","夺魂者","Soul Catcher","Имитатор","換魂師","Segador de almas"
"QuickShooter","快枪手","Quick Shooter","Стрелок","快槍手","DisparaRapido"
"Camouflager","隐蔽者","Camouflager","Камуфляжер","",""
"Eraser","抹除者","Eraser","Стирачка","抹除者","Borrador"
"OverKiller","肢解者","Butcher","Мясник","肢解者","SobreAsesino"
"Hangman","刽子手","Hangman","Вешатель","劊子手","Hangman"
"Swooper","隐匿者","Swooper","Невидимка","隱身人",""
"Crewpostor","船鬼","Crewpostor","Двуликий","船鬼",""
"Wildling","野人","Wildling","Одичалый","",""
"Trickster","魔术师","Trickster","Трюкач","",""
"Vindicator","卫道士","Vindicator","Продажный","",""
"Parasite","寄生虫","Parasite","Паразит","",""
"Disperser","分散者","Disperser","Разбрасыватель","",""
"Inhibitor","抑郁者","Inhibitor","Тугодум","",""
"Saboteur","破坏者","Saboteur","Cаботажник","",""
"Councillor","议员","Councillor","Взяточник","",""
"Dazzler","眩晕者","Dazzler","Ослепитель","",""
"Deathpact","死亡契约","Deathpact","Злой Купидон","",""
"Devourer","吞噬者","Devourer","Пожиратель","",""
"EvilDiviner","军师","Consigliere","Советник","",""
"Morphling","化形者","Morphling","Морфлинг","",""
"Twister","龙卷风","Twister","Твистер","",""
"Lurker","潜伏者","Lurker","Скрытень","",""
"Convict","罪犯","Convict","Осужденный","",""
"Visionary","幻想家","Visionary","Визионер","",""
"Refugee","逃亡者","Refugee","","",""
"Underdog","失败者","Underdog","","",""

"# 船员阵营 / Crewmates"
"Luckey","幸运儿","Luckey","Удачник","幸運兒","Suertudo"
"Needy","摆烂人","Lazy Guy","Ленивый Парень","擺爛人","Chico Malo"
"SuperStar","大明星","Super Star","Супер Звезда","大明星","Super Estrella"
"CyberStar","网红","Celebrity","Знаменитость","網紅","CyberEstrella"
"Demolitionist","","Demolitionist","","",""
"TaskManager","","Task Manager","","",""
"NiceEraser","","Nice Eraser","","",""
"SwordsMan","侠客","Knight","Линчеватель","俠客","Hombre Espada"
"Mayor","市长","Mayor","Мэр","市長","Juez"
"Paranoia","被害妄想症","Paranoid","Параноик","被害妄想症","Paranoico"
"Psychic","愚者","Psychic","Экстрасенс","愚者","愚者"
"SabotageMaster","修理工","Mechanic","Ремонтник","修理工","修理工"
"Sheriff","警长","Sheriff","Шериф","警長","警长"
"CopyCat","模仿者","Copycat","","",""
"Snitch","告密者","Snitch","Стукач","告密者","告密者"
"Marshall","展现者","Marshall","Маршалл","Marshall","Marshall"
"SpeedBooster","增速者","Speed Booster","Ускоритель","增速師","增速者"
"Doctor","法医","Doctor","Доктор","法醫","法医"
"Dictator","独裁者","Dictator","Диктатор","獨裁主義者","独裁者"
"Detective","侦探","Detective","Детектив","偵探","侦探"
"NiceGuesser","正义赌怪","Nice Guesser","Добрый Угадыватель","正義賭怪","正义赌怪"
"Transporter","传送师","Transporter","Транспортер","傳送師","传送师"
"TimeManager","时间操控者","Time Manager","Мастер Времени","時間大師","时间操控者"
"Veteran","老兵","Veteran","Ветеран","老兵","老兵"
"Bodyguard","保镖","Bodyguard","Телохранитель","保鑣","保镖"
"Counterfeiter","赝品商","Deceiver","Обманщик","贗品商","赝品商"
"Grenadier","掷雷兵","Grenadier","Гренадёр","擲彈兵","掷雷兵"
"Lighter","","Lighter","","",""
"Medic","医生","Medic","Медик","軍醫","医生"
"Divinator","调查员","Fortune Teller","Следователь","占卜師","占卜师"
"Glitch","缺点者","Glitch","Ошибка","活死人","活死人"
"Judge","法官","Judge","Судья","法官","法官"
"Mortician","入殓师","Mortician","Гробовщик","殯葬師","入殓师"
"Mediumshiper","通灵师","Medium","Медиум","通靈師","通灵师"
"DovesOfNeace","和平之鸽","Pacifist","Пацифист","和平之鴿",""
"Observer","观察者","Observer","Аудитор","窺視者",""
"Monarch","君主","Monarch","Монарх","",""
"Farseer","预言家","Investigator","Смотритель","",""
"Bloodhound","验尸官","Coroner","Сыщик","",""
"Tracker","正义追踪者","Tracker","Трекер","",""
"Merchant","商人","Merchant","Торговец","",""
"Retributionist","惩罚者","Retributionist","Возмездник","",""
"Deputy","捕快","Deputy","Заместитель","",""
"Guardian","守护者","Guardian","Страж","",""
"Addict","瘾君子","Addict","Зависимый","",""
"Tracefinder","寻迹者","Tracefinder","Искатель","",""
"Oracle","神谕","Oracle","Оракл","",""
"Spiritualist","灵魂论者","Spiritualist","Мистик","",""
"Chameleon","变色龙","Chameleon","Хамелеон","",""
"ParityCop","检查员","Inspector","Инспектор","",""
"Admirer","仰慕者","Admirer","","",""
"TimeMaster","时间之主","Time Master","","",""
"Crusader","十字军","Crusader","","",""
"Reverie","遐想者","Reverie","","",""

"# 中立阵营 / Neutrals"
"Jester","小丑","Jester","Шут","小丑","小丑"
"Arsonist","纵火犯","Arsonist","Поджигатель","縱火犯","纵火犯"
"Terrorist","恐怖分子","Terrorist","Террорист","恐怖分子","恐怖分子"
"Executioner","处刑人","Executioner","Палач","暴民","处刑人"
"Lawyer","律师","Lawyer","Адвокат","",""
"Opportunist","投机者","Opportunist","Выживший","投機主義者","投机者"
"Mario","马里奥","Vector","Вектор","瑪利歐","马里奥"
"Jackal","豺狼","Jackal","Шакал","豺狼","豺狼"
"God","神","God","Дьявол","神","神"
"Innocent","冤罪师","Innocent","Обвинитель","冤罪師","冤罪师"
"Pelican","鹈鹕","Pelican","Пеликан","鵜鶘","鹈鹕"
"Revolutionist","革命家","Revolutionist","Революционер","革命家","革命家"
"FFF","FFF团","Hater","Бессердечник","單身狗","FFF团"
"Konan","柯南","Konan","Конан","柯南","柯南"
"Gamer","玩家","Demon","Демон","玩家","玩家"
"DarkHide","潜藏者","Stalker","Сталкер","潛藏者","潜藏者"
"Workaholic","工作狂","Workaholic","Трудоголик","工作狂","工作狂"
"Collector","集票者","Collector","Коллектор","集票者","集票者"
"Provocateur","自爆卡车","Provocateur","Провокатор","神風特攻隊","自爆卡车"
"BloodKnight","嗜血骑士","Blood Knight","Кровный Рыцарь","嗜血騎士",""
"PlagueBearer","瘟疫使者","Plaguebearer","","",""
"Pestilence","瘟疫","Pestilence","","",""
"Poisoner","投毒者","Poisoner","Отравитель","Poisoner","Poisoner"
"Sidekick","跟班","Sidekick","Сюзник","Sidekick","Sidekick"
"NWitch","巫婆","Witch","Заклинатель","Witch","Witch"
"Totocalcio","赌徒","Follower","Последователь","赌徒",""
"Succubus","魅魔","Cultist","Суккуб","魅魔",""
"HexMaster","巫师","Hex Master","Мастер Проклятий","",""
"Wraith","魅影","Wraith","Дух","",""
"NSerialKiller","连环杀手","Serial Killer","Маньяк","",""
"Juggernaut","天启","Juggernaut","Джаггернаут","",""
"Infectious","感染者","Infectious","Заразный","",""
"Virus","病毒","Virus","Вирус","",""
"Pursuer","追击者","Pursuer","Преследователь","",""
"Phantom","幻影","Phantom","Фантом","",""
"Pirate","幻影","Pirate","Фантом","",""
"Jinx","扫把星","Jinx","Джинкс","",""
"Maverick","独行者","Maverick","Бродяга","",""
"CursedSoul","被诅咒的灵魂","Cursed Soul","Проклятый","",""
"Ritualist","祭祀者","Ritualist","Ритуальщик","",""
"Pickpocket","小偷","Pickpocket","Карманник","",""
"Traitor","背叛者","Traitor","Трейтор","",""
"Vulture","秃鹫","Vulture","Стервятник","",""
"Medusa","美杜莎","Medusa","Медуза","",""
"Baker","面包师","Baker","Пекарь","",""
"Famine","饥荒","Famine","Голод","",""
"Spiritcaller","灵魂召唤者","Spiritcaller","Призыватель","",""
"Amnesiac","失忆者","Amnesiac","","",""
"Masochist","受虐狂","Masochist","","",""
"Doomsayer","末日赌怪","Doomsayer","Предсказатель","",""


"# 附加职业 / Add-ons"
"LastImpostor","绝境者","Last Impostor","Последний Предатель","絕境者","绝境者"
"Lovers","恋人","Lovers","Любовники","戀人","恋人"
"Madmate","叛徒","Madmate","Безумец","叛徒","叛徒"
"Ntr","海王","Neptune","Нептун","海王","海王"
"Watcher","窥视者","Watcher","Наблюдатель","觀察者","Observador"
"Flashman","闪电侠","Flash","Флэш","閃電俠","Flashman"
"Torch","执灯人","Torch","Фонарик","持燈人","Encendedor"
"Seer","灵媒","Seer","Провидец","靈媒","Psíquico"
"Brakar","破平者","Tiebreaker","Решающий","破平者","破平者"
"Oblivious","胆小鬼","Oblivious","Забывчивый","膽小鬼","胆小鬼"
"Bewilder","迷幻者","Bewilder","Растерянный","視障","迷幻者"
"Sunglasses","患者","Sunglasses","","",""
"Workhorse","加班狂","Workhorse","Работник","加班狂","加班狂"
"Fool","蠢蛋","Fool","Глупец","蠢蛋","蠢蛋"
"Avanger","复仇者","Avenger","Мститель","復仇者","复仇者"
"Youtuber","UP主","YouTuber","Ютубер","Youtuber","UP主"
"Egoist","利己主义者","Egoist","Эгоист","利己主義者","利己主义者"
"TicketsStealer","窃票者","Stealer","Вор","竊票者","窃票者"
"DualPersonality","双重人格","Schizophrenic","Шизофреник","雙重人格","双重人格"
"Mimic","宝箱怪","Mimic","Мимик","保險箱","宝箱怪"
"Guesser","赌怪","Guesser","Угадыватель","Guesser","Guesser"
"Necroview","死神","Necroview","Некровил","Necroview","Necroview"
"Reach","持枪","Reach","Длиннолап","長槍",""
"Charmed","魅魔小弟","Charmed","Зачарован","魅魔小弟",""
"Bait","诱饵","Bait","Байт","誘餌","Bait"
"Trapper","陷阱师","Beartrap","Капкан","設陷者","陷阱师"
"Infected","感染","Infected","Зараженный","",""
"Onbound","防赌","Onbound","Непобедим","",""
"Knighted","骑士","Knighted","Посвященный","",""
"Unreportable","不受重视的","Disregarded","Проигнорированный","",""
"Contagious","传染性","Contagious","Заразный ","",""
"Rogue","盗贼","Rogue","Негодяй","",""
"Lucky","幸运加持的","Lucky","Удачливый","",""
"Unlucky","倒霉蛋","Unlucky","","",""
"DoubleShot","双重猜测","Double Shot","Второй Шанс","",""
"Rascal","流氓","Rascal","Поддельный","",""
"Soulless","没有灵魂","Soulless","Бездушный","",""
"Gravestone","墓碑","Gravestone","Надгробный","",""
"Lazy","懒人","Lazy","Ленивый","",""
"Autopsy","尸检","Autopsy","Врач","",""
"Loyal","忠诚","Loyal","Лояльный","",""
"EvilSpirit","恶灵","Evil Spirit","Злой Дух","",""
"Recruit","招募","Recruit","","",""
"Admired","仰慕的","Admired","","",""
"Glow","光辉","Glow","","",""
"Diseased","患病的","Diseased","","",""
"Antidote","健康","Antidote","","",""
"Swift","迅捷","Swift","","",""
"Ghoul","食尸鬼","Ghoul","","",""

"## 附加职业作为前缀时 / Prefixes for Add-ons"

"Prefix.Ntr","海王","Neptune ","Нептунский ","海王","海王"
"Prefix.Watcher","窥视","Watcher ","Наблюдательный ","觀察","窥视"
"Prefix.Flashman","闪电","Flash ","Флэшевый ","閃電","闪电"
"Prefix.Torch","执灯","Torch ","Фонарный ","持燈","执灯"
"Prefix.Seer","灵媒","Seer ","Провидящий ","靈媒","灵媒"
"Prefix.Brakar","破平","Tiebreaker ","Решающий ","破平","破平"
"Prefix.Oblivious","胆小","Oblivious ","Забывчивый ","膽小","胆小"
"Prefix.Bewilder","迷幻","Bewilder ","Растерянный ","視障","迷幻"
"Prefix.Workhorse","加班狂","Workhorse ","Рабочий ","加班狂","加班狂"
"Prefix.Fool","蠢蛋","Fool ","Глупый ","蠢蛋","蠢蛋"
"Prefix.Avanger","复仇","Avenger ","Мстительный ","復仇","复仇"
"Prefix.Youtuber","UP主","YouTuber ","Ютубер ","Youtuber","UP主"
"Prefix.Egoist","利己主义","Egoist ","Эгоистичный ","利己主義","利己主义"
"Prefix.TicketsStealer","窃票","Stealer ","Ворующий ","竊票","窃票"
"Prefix.DualPersonality","双重人格","Schizophrenic ","Шизофренический ","雙重人格","双重人格"
"Prefix.Mimic","宝箱怪","Mimic ","Мимикующий ","保險箱","宝箱怪"
"Prefix.Bait","诱饵","Bait ","Байт ","誘餌","Bait"
"Prefix.Trapper","陷阱师","Beartrap ","Капкан ","設陷者","陷阱师"
"Prefix.Guesser","赌怪","Guesser ","Угадывающий ","Guesser ","Guesser "
"Prefix.Necroview","死神","Necroview ","Некровидящий ","Necroview ","Necroview "
"Prefix.Recruit","跟班","Recruit ","Союзник ","Sidekick ","Sidekick "
"Prefix.Reach","持枪","Reach ","Длиннолап ","持枪",""
"Prefix.Onbound","防堵","Onbound ","Непобедимый ","",""
"Prefix.Knighted","骑士","Knighted ","Посвященный ","",""
"Prefix.Unreportable","不受重视的","Disregarded ","Проигнорированный ","",""
"Prefix.Rogue","盗贼","Rogue ","Негодяйный ","",""
"Prefix.Lucky","幸运加持的","Lucky ","Удачливый ","",""
"Prefix.DoubleShot","双重猜测","Double Shot ","Второй Шанс ","",""
"Prefix.Rascal","流氓","Rascal ","Поддельный ","",""
"Prefix.Gravestone","墓碑","Gravestone ","Надгробный ","",""
"Prefix.Lazy","懒人","Lazy ","Ленивый ","",""
"Prefix.Autopsy","尸检","Autopsy ","Врач ","",""
"Prefix.Loyal","忠诚","Loyal ","Лояльный ","",""
"Prefix.EvilSpirit","恶灵","Evil Spirit ","Злой Дух ","",""
"Prefix.Glow","发光","Glow ","Визионер ","",""
"Prefix.Diseased","患病","Diseased ","","",""
"Prefix.Antidote","健康","Antidote ","","",""
"Prefix.Swift","迅捷","Swift ","","",""
"Prefix.Unlucky","倒霉蛋","Unlucky ","","",""
"Prefix.Ghoul","食尸鬼","Ghoul ","","",""
"Prefix.Sunglasses","患者","Sunglasses ","","",""
"Prefix.Mare","","Mare ","","",""

"## 附加职业作为前缀时 / Prefixes for Add-ons But With Brackets"

"PrefixB.Ntr","海王","<color=#ffffff>(</color>Neptune<color=#ffffff>)</color> ","<color=#ffffff>(</color>Нептун<color=#ffffff>)</color> ","海王","海王"
"PrefixB.Watcher","窥视","<color=#ffffff>(</color>Watcher<color=#ffffff>)</color> ","<color=#ffffff>(</color>Наблюдатель<color=#ffffff>)</color> ","觀察","窥视"
"PrefixB.Flashman","闪电","<color=#ffffff>(</color>Flash<color=#ffffff>)</color> ","<color=#ffffff>(</color>Флэш<color=#ffffff>)</color> ","閃電","闪电"
"PrefixB.Torch","执灯","<color=#ffffff>(</color>Torch<color=#ffffff>)</color> ","<color=#ffffff>(</color>Фонарик<color=#ffffff>)</color> ","燈人","执灯"
"PrefixB.Seer","灵媒","<color=#ffffff>(</color>Seer<color=#ffffff>)</color> ","<color=#ffffff>(</color>Провидец<color=#ffffff>)</color> ","靈媒","灵媒"
"PrefixB.Brakar","破平","<color=#ffffff>(</color>Tiebreaker<color=#ffffff>)</color> ","<color=#ffffff>(</color>Решающий<color=#ffffff>)</color> ","破平","破平"
"PrefixB.Oblivious","胆小","<color=#ffffff>(</color>Oblivious<color=#ffffff>)</color> ","<color=#ffffff>(</color>Забывчивый<color=#ffffff>)</color> ","膽小","胆小"
"PrefixB.Bewilder","迷幻","<color=#ffffff>(</color>Bewilder<color=#ffffff>)</color> ","<color=#ffffff>(</color>Растерянный<color=#ffffff>)</color> ","視障","迷幻"
"PrefixB.Workhorse","加班狂","<color=#ffffff>(</color>Workhorse<color=#ffffff>)</color> ","<color=#ffffff>(</color>Рабочий<color=#ffffff>)</color> ","加班狂","加班狂"
